artist.hotttnesss,artist.id,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotttnesss,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year
0.401997543,ARD7TVE1187B99BFB1,Casual,,0,0.643,0.58521,0.834,0.58521,218.93179,0.247,0.581793766,1,0.736,37.15735675,California - LA,-63.93335787,-11.197,0,0.636,300848,Fear Itself,ARV4KO21187FB38008,0.60211999,SOMZWCG12A8C13C480,218.932,0.779,0.28519,92.198,hip hop,1,4,0.778,I Didn't Mean To,0
0.417499645,ARMJAGH1187FB546F3,The Box Tops,classic pop and rock,1,0.007,0.71054,1,0.20627,148.03546,0.148,0.630630038,6,0.169,35.14968,"Memphis, TN",-90.04892,-9.843,0,0.43,300822,Dimensions,ARSZWK21187B9B26D7,,SOCIWDW12A8C13D406,137.915,0.969,0.20627,121.274,blue-eyed soul,1,4,0.384,Soul Deep,1969
0.343428378,ARKRRTF1187B9984DA,Sonora Santanera,,0,0.98,0.73152,0.98,0.73152,177.47546,0.282,0.487356791,8,0.643,37.15735675,Not available,-63.93335787,-9.689,1,0.565,514953,Las Numero 1 De La Sonora Santanera,ARFSJUG11C8A421AAD,,SOXVLOJ12AB0189215,172.304,0.482,0.42132,100.07,salsa,1,1,0,Amor De Cabaret,0
0.454231157,AR7G5I41187FB4CE6C,Adam Ant,uk,1,0.017,1.30621,0.809,0.81002,233.40363,0,0.630382334,0,0.751,37.15735675,"London, England",-63.93335787,-9.013,1,0.749,287650,Friend Or Foe,AR4R0741187FB39AF2,,SONHOTT12A8C13493C,217.124,0.601,0.56254,119.293,pop rock,0.988583863,4,0,Something Girls,1982
0.401723686,ARXR32B1187FB57099,Gob,,0,0.175,1.06368,0.883,0.13576,209.60608,0.066,0.651045661,2,0.092,37.15735675,Not available,-63.93335787,-4.501,1,0.371,611336,Muertos Vivos,ARUA62A1187B99D9B0,0.604500739,SOFSOCN12A8C143F5D,198.699,1,0.13576,129.738,pop punk,0.887288301,4,0.562,Face the Ashes,2007
0.385470551,ARKFYS91187B98E58F,Jeff And Sheri Easter,,0,0.121,1.17118,0.438,0.74856,267.7024,2.264,0.535292736,5,0.635,37.15735675,Not available,-63.93335787,-9.323,1,0.557,41838,Ordinary Day,ARHNMEZ11F50C4706C,,SOYMRWW12A6D4FAB14,254.27,0.136,0.53929,147.782,southern gospel,1,3,0.454,The Moon And I (Ordinary Day Album Version),0
0.261941177,ARD0S291187B9B7BF5,Rated R,,0,0.709,0.27253,0.709,0.27253,114.78159,0.096,0.556495602,1,0,37.15735675,Ohio,-63.93335787,-17.302,1,0,25824,Da Ghetto Psychic,ARF93II1187B99F981,,SOMJBYD12A6D4F8557,114.782,0.467,0.05611,111.787,breakbeat,1,1,0,Keepin It Real (Skit),0
0.605507136,AR10USD1187B99F3F1,Tweeterfriendly Music,,0,0.142,0.65428,0.234,0.65428,189.57016,0.319,0.801136447,4,0,37.15735675,"Burlington, Ontario, Canada",-63.93335787,-11.642,0,0.16,8876,Gin & Phonic,ARJXL4Z1187B9A5920,,SOHKNRJ12A6701D1F8,181.023,0.292,0.36129,101.43,post-hardcore,0.999818045,3,0.408,Drop of Rain,0
0.332275747,AR8ZCNI1187B9A069B,Planet P Project,,0,0.806,1.91886,0.44,1.22595,269.81832,5.3,0.426667857,4,0.717,37.15735675,Not available,-63.93335787,-13.496,1,0.652,358182,Pink World,ARWVP631187FB4D016,0.265861049,SOIAZJW12AB01853F1,258.99,0.121,1.22595,86.643,new wave,0.959766246,4,0.487,Pink World,1984
0.422705641,ARNTLGG11E2835DDB9,Clp,,0,0.047,0.62445,1,0.09933,266.39628,0.084,0.550513698,7,0.053,37.15735675,Not available,-63.93335787,-6.697,0,0.473,692313,Superinstrumental,ARAR1XA11C8A415BE5,,SOUDSGM12AC9618304,261.747,1,0.09933,114.041,breakcore,0.915601748,4,0.878,Insatiable (Instrumental Version),0
